# Stepping through 194.225.0.0/16 every 1 IPs
194.225.58.253  sir-group.tums.ac.ir
194.225.59.20  dentmail.tums.ac.ir
194.225.59.21  dentshare.tums.ac.ir
194.225.59.77  dentistry.tums.ac.ir
194.225.61.10  ftpvsca.tums.ac.ir
194.225.61.11  vkh.tums.ac.ir
194.225.61.17  eskan.tums.ac.ir
194.225.61.17  refah.tums.ac.ir
194.225.61.19  vpn-student.tums.ac.ir
194.225.62.1  TUMS-gate-c7301.tums.ac.ir
194.225.62.17  switchmain.tums.ac.ir
194.225.62.18  switchamar.tums.ac.ir
194.225.62.66  ourdns2.tums.ac.ir
194.225.62.67  sinaback.tums.ac.ir
194.225.62.68  whatsup.tums.ac.ir
194.225.62.68  monitoring.tums.ac.ir
194.225.62.68  acid.tums.ac.ir
194.225.62.70  mail.tums.ac.ir
194.225.62.70  sina.tums.ac.ir
194.225.62.71  mailgateway3.tums.ac.ir
194.225.62.72  media.tums.ac.ir
194.225.62.73  razi.tums.ac.ir
194.225.62.75  ips.tums.ac.ir
194.225.62.75  mrtg.tums.ac.ir
194.225.62.75  access.tums.ac.ir
194.225.62.77  vcenter77.tums.ac.ir
194.225.62.77  mailgateway4.tums.ac.ir
194.225.62.78  ctrc.tums.ac.ir
194.225.62.78  emrc.tums.ac.ir
194.225.62.78  smrc.ir
194.225.62.78  rcstim.tums.ac.ir
194.225.62.78  metrics.tums.ac.ir
194.225.62.78  iroevent.tums.ac.ir
194.225.62.78  cancerinstitute.tums.ac.ir
194.225.62.78  edc.tums.ac.ir
194.225.62.78  iro.tums.ac.ir
194.225.62.78  isp.tums.ac.ir
194.225.62.78  www.smrc.ir
194.225.62.79  aram.tums.ac.ir
194.225.62.80  ourdns1.tums.ac.ir
194.225.62.81  farabi.tums.ac.ir
194.225.62.83  mydomain.tums.ac.ir
194.225.62.83  student.tums.ac.ir
194.225.62.84  ijpt.tums.ac.ir
194.225.62.85  raziback.tums.ac.ir
194.225.62.86  webback.tums.ac.ir
194.225.62.87  zmtest.tums.ac.ir
194.225.62.89  semat.tums.ac.ir
194.225.62.90  farabibak.tums.ac.ir
194.225.62.92  monitor.tums.ac.ir
194.225.62.93  nrc.tums.ac.ir
194.225.62.93  wha.tums.ac.ir
194.225.62.93  bfrc.tums.ac.ir
194.225.62.93  chmc.tums.ac.ir
194.225.62.93  icit.tums.ac.ir
194.225.62.93  bazresi.tums.ac.ir
194.225.62.93  sqlback.tums.ac.ir
194.225.62.93  heiatelmi.tums.ac.ir
194.225.62.93  karafarini.tums.ac.ir
194.225.62.93  productivity.tums.ac.ir
194.225.62.93  dabirkhaneh-han.tums.ac.ir
194.225.62.98  ns1.tums.ac.ir
194.225.62.100  accounts.tums.ac.ir
194.225.62.100  accounting.tums.ac.ir
194.225.62.101  accountsback.tums.ac.ir
194.225.62.102  tums-portal.tums.ac.ir
194.225.62.103  offcampus.tums.ac.ir
194.225.62.105  www1.tums.ac.ir
194.225.62.105  research.tums.ac.ir
194.225.62.105  research.tums.ac.ir.62.225.194.in-addr.arpa
194.225.62.106  sinahp.tums.ac.ir
194.225.62.107  ns2.tums.ac.ir
194.225.62.108  nahad.tums.ac.ir
194.225.62.108  imamkhomeinihospital.tums.ac.ir
194.225.62.108  samt.tums.ac.ir
194.225.62.109  diglib.tums.ac.ir
194.225.62.110  mailgateway.tums.ac.ir
194.225.62.111  ispconfig.tums.ac.ir
194.225.62.112  alumnus.tums.ac.ir
194.225.62.114  cme.tums.ac.ir
194.225.62.115  ostad.tums.ac.ir
194.225.62.117  syslog.tums.ac.ir.62.225.194.in-addr.arpa
194.225.62.118  testm.tums.ac.ir
194.225.62.119  cmedb.tums.ac.ir
194.225.62.120  cmetest.tums.ac.ir
194.225.62.121  alumnus2.tums.ac.ir
194.225.62.123  mailgateway2.tums.ac.ir
194.225.62.124  razi2.tums.ac.ir
194.225.62.131  shadpoor.tums.ac.ir
194.225.62.141  rajabzadeh.tums.ac.ir
194.225.62.143  latani.tums.ac.ir
194.225.62.150  maghsoud.tums.ac.ir
194.225.62.152  mrtg1.tums.ac.ir
194.225.62.199  vakil.tums.ac.ir
194.225.62.200  cache.tums.ac.ir
194.225.63.1  remote001.tums.ac.ir
194.225.63.2  remote002.tums.ac.ir
194.225.63.3  remote003.tums.ac.ir
194.225.63.4  remote004.tums.ac.ir
194.225.63.5  remote005.tums.ac.ir
194.225.63.6  remote006.tums.ac.ir
194.225.63.7  remote007.tums.ac.ir
194.225.63.8  remote008.tums.ac.ir
194.225.63.9  remote009.tums.ac.ir
194.225.63.10  remote010.tums.ac.ir
194.225.63.11  remote011.tums.ac.ir
194.225.63.12  remote012.tums.ac.ir
194.225.63.13  remote013.tums.ac.ir
194.225.63.14  remote014.tums.ac.ir
194.225.63.15  remote015.tums.ac.ir
194.225.63.16  remote016.tums.ac.ir
194.225.63.17  remote017.tums.ac.ir
194.225.63.18  remote018.tums.ac.ir
194.225.63.19  remote019.tums.ac.ir
194.225.63.20  remote020.tums.ac.ir
194.225.63.21  remote021.tums.ac.ir
194.225.63.22  remote022.tums.ac.ir
194.225.63.23  remote023.tums.ac.ir
194.225.63.24  remote024.tums.ac.ir
194.225.63.25  remote025.tums.ac.ir
194.225.63.26  remote026.tums.ac.ir
194.225.63.27  remote027.tums.ac.ir
194.225.63.28  remote028.tums.ac.ir
194.225.63.29  remote029.tums.ac.ir
194.225.63.30  remote030.tums.ac.ir
194.225.63.31  remote031.tums.ac.ir
194.225.63.32  remote032.tums.ac.ir
194.225.63.33  remote033.tums.ac.ir
194.225.63.34  remote034.tums.ac.ir
194.225.63.35  remote035.tums.ac.ir
194.225.63.36  remote036.tums.ac.ir
194.225.63.37  remote037.tums.ac.ir
194.225.63.38  remote038.tums.ac.ir
194.225.63.39  remote039.tums.ac.ir
194.225.63.40  remote040.tums.ac.ir
194.225.63.41  remote041.tums.ac.ir
194.225.63.42  remote042.tums.ac.ir
194.225.63.43  remote043.tums.ac.ir
194.225.63.44  remote044.tums.ac.ir
194.225.63.45  remote045.tums.ac.ir
194.225.63.46  remote046.tums.ac.ir
194.225.63.47  remote047.tums.ac.ir
194.225.63.48  remote048.tums.ac.ir
194.225.63.49  remote049.tums.ac.ir
194.225.63.50  remote050.tums.ac.ir
194.225.63.51  remote051.tums.ac.ir
194.225.63.52  remote052.tums.ac.ir
194.225.63.53  remote053.tums.ac.ir
194.225.63.54  remote054.tums.ac.ir
194.225.63.55  remote055.tums.ac.ir
194.225.63.56  remote056.tums.ac.ir
194.225.63.57  remote057.tums.ac.ir
194.225.63.58  remote058.tums.ac.ir
194.225.63.59  remote059.tums.ac.ir
194.225.63.60  remote060.tums.ac.ir
194.225.63.61  remote061.tums.ac.ir
194.225.63.62  remote062.tums.ac.ir
194.225.63.63  remote063.tums.ac.ir
194.225.63.64  remote064.tums.ac.ir
194.225.63.65  remote065.tums.ac.ir
194.225.63.66  remote066.tums.ac.ir
194.225.63.67  remote067.tums.ac.ir
194.225.63.68  remote068.tums.ac.ir
194.225.63.69  remote069.tums.ac.ir
194.225.63.70  remote070.tums.ac.ir
194.225.63.71  remote071.tums.ac.ir
194.225.63.72  remote072.tums.ac.ir
194.225.63.73  remote073.tums.ac.ir
194.225.63.74  remote074.tums.ac.ir
194.225.63.75  remote075.tums.ac.ir
194.225.63.76  remote076.tums.ac.ir
194.225.63.77  remote077.tums.ac.ir
194.225.63.78  remote078.tums.ac.ir
194.225.63.79  remote079.tums.ac.ir
194.225.63.80  remote080.tums.ac.ir
194.225.63.81  remote081.tums.ac.ir
194.225.63.82  remote082.tums.ac.ir
194.225.63.83  remote083.tums.ac.ir
194.225.63.84  remote084.tums.ac.ir
194.225.63.85  remote085.tums.ac.ir
194.225.63.86  remote086.tums.ac.ir
194.225.63.87  remote087.tums.ac.ir
194.225.63.88  remote088.tums.ac.ir
194.225.63.89  remote089.tums.ac.ir
194.225.63.90  remote090.tums.ac.ir
194.225.63.91  remote091.tums.ac.ir
194.225.63.92  remote092.tums.ac.ir
194.225.63.93  remote093.tums.ac.ir
194.225.63.94  remote094.tums.ac.ir
194.225.63.95  remote095.tums.ac.ir
194.225.63.96  remote096.tums.ac.ir
194.225.63.97  remote097.tums.ac.ir
194.225.63.98  remote098.tums.ac.ir
194.225.63.99  remote099.tums.ac.ir
194.225.63.100  remote100.tums.ac.ir
194.225.63.101  remote101.tums.ac.ir
194.225.63.102  remote102.tums.ac.ir
194.225.63.103  remote103.tums.ac.ir
194.225.63.104  remote104.tums.ac.ir
194.225.63.105  remote105.tums.ac.ir
194.225.63.106  remote106.tums.ac.ir
194.225.63.107  remote107.tums.ac.ir
194.225.63.108  remote108.tums.ac.ir
194.225.63.109  remote109.tums.ac.ir
194.225.63.110  remote110.tums.ac.ir
194.225.63.111  remote111.tums.ac.ir
194.225.63.112  remote112.tums.ac.ir
194.225.63.113  remote113.tums.ac.ir
194.225.63.114  remote114.tums.ac.ir
194.225.63.115  remote115.tums.ac.ir
194.225.63.116  remote116.tums.ac.ir
194.225.63.117  remote117.tums.ac.ir
194.225.63.118  remote118.tums.ac.ir
194.225.63.119  remote119.tums.ac.ir
194.225.63.120  remote120.tums.ac.ir
194.225.63.121  remote121.tums.ac.ir
194.225.63.122  remote122.tums.ac.ir
194.225.63.123  remote123.tums.ac.ir
194.225.63.124  remote124.tums.ac.ir
194.225.63.125  remote125.tums.ac.ir
194.225.63.126  remote126.tums.ac.ir
194.225.63.127  remote127.tums.ac.ir
194.225.63.128  remote128.tums.ac.ir
194.225.63.129  remote129.tums.ac.ir
194.225.63.130  remote130.tums.ac.ir
194.225.63.131  remote131.tums.ac.ir
194.225.63.132  remote132.tums.ac.ir
194.225.63.133  remote133.tums.ac.ir
194.225.63.134  remote134.tums.ac.ir
194.225.63.135  remote135.tums.ac.ir
194.225.63.136  remote136.tums.ac.ir
194.225.63.137  remote137.tums.ac.ir
194.225.63.138  remote138.tums.ac.ir
194.225.63.139  remote139.tums.ac.ir
194.225.63.140  remote140.tums.ac.ir
194.225.63.141  remote141.tums.ac.ir
194.225.63.142  remote142.tums.ac.ir
194.225.63.143  remote143.tums.ac.ir
194.225.63.144  remote144.tums.ac.ir
194.225.63.145  remote145.tums.ac.ir
194.225.63.146  remote146.tums.ac.ir
194.225.63.147  remote147.tums.ac.ir
194.225.63.148  remote148.tums.ac.ir
194.225.63.149  remote149.tums.ac.ir
